code|name|category|featured
EG.ELC.ACCS.RU.ZS|Access to electricity, rural (% of rural population)|Agriculture & Rural Development|FALSE
AG.LND.IRIG.AG.ZS|Agricultural irrigated land (% of total agricultural land)|Agriculture & Rural Development|TRUE
AG.LND.AGRI.ZS|Agricultural land (% of land area)|Agriculture & Rural Development|TRUE
AG.LND.AGRI.K2|Agricultural land (sq. km)|Agriculture & Rural Development|FALSE
TX.VAL.AGRI.ZS.UN|Agricultural raw materials exports (% of merchandise exports)|Agriculture & Rural Development|FALSE
TM.VAL.AGRI.ZS.UN|Agricultural raw materials imports (% of merchandise imports)|Agriculture & Rural Development|FALSE
NV.AGR.TOTL.ZS|Agriculture, forestry, and fishing, value added (% of GDP)|Agriculture & Rural Development|TRUE
NV.AGR.TOTL.CD|Agriculture, forestry, and fishing, value added (current US$)|Agriculture & Rural Development|FALSE
ER.H2O.FWAG.ZS|Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)|Agriculture & Rural Development|FALSE
AG.LND.ARBL.ZS|Arable land (% of land area)|Agriculture & Rural Development|TRUE
AG.LND.ARBL.HA.PC|Arable land (hectares per person)|Agriculture & Rural Development|TRUE
AG.LND.ARBL.HA|Arable land (hectares)|Agriculture & Rural Development|FALSE
AG.LND.PRCP.MM|Average precipitation in depth (mm per year)|Agriculture & Rural Development|FALSE
AG.PRD.CREL.MT|Cereal production (metric tons)|Agriculture & Rural Development|FALSE
AG.YLD.CREL.KG|Cereal yield (kg per hectare)|Agriculture & Rural Development|TRUE
AG.PRD.CROP.XD|Crop production index (2014-2016 = 100)|Agriculture & Rural Development|TRUE
SL.AGR.EMPL.ZS|Employment in agriculture (% of total employment) (modeled ILO estimate)|Agriculture & Rural Development|FALSE
SL.AGR.EMPL.FE.ZS|Employment in agriculture, female (% of female employment) (modeled ILO estimate)|Agriculture & Rural Development|TRUE
SL.AGR.EMPL.MA.ZS|Employment in agriculture, male (% of male employment) (modeled ILO estimate)|Agriculture & Rural Development|TRUE
AG.CON.FERT.PT.ZS|Fertilizer consumption (% of fertilizer production)|Agriculture & Rural Development|FALSE
AG.CON.FERT.ZS|Fertilizer consumption (kilograms per hectare of arable land)|Agriculture & Rural Development|TRUE
AG.PRD.FOOD.XD|Food production index (2014-2016 = 100)|Agriculture & Rural Development|TRUE
AG.LND.FRST.ZS|Forest area (% of land area)|Agriculture & Rural Development|TRUE
AG.LND.FRST.K2|Forest area (sq. km)|Agriculture & Rural Development|TRUE
AG.LND.TOTL.K2|Land area (sq. km)|Agriculture & Rural Development|TRUE
AG.LND.CREL.HA|Land under cereal production (hectares)|Agriculture & Rural Development|TRUE
AG.PRD.LVSK.XD|Livestock production index (2014-2016 = 100)|Agriculture & Rural Development|TRUE
AG.LND.CROP.ZS|Permanent cropland (% of land area)|Agriculture & Rural Development|TRUE
AG.LND.TOTL.RU.K2|Rural land area (sq. km)|Agriculture & Rural Development|FALSE
AG.LND.EL5M.RU.ZS|Rural land area where elevation is below 5 meters (% of total land area)|Agriculture & Rural Development|FALSE
AG.LND.EL5M.RU.K2|Rural land area where elevation is below 5 meters (sq. km)|Agriculture & Rural Development|FALSE
SP.RUR.TOTL|Rural population|Agriculture & Rural Development|TRUE
SP.RUR.TOTL.ZS|Rural population (% of total population)|Agriculture & Rural Development|TRUE
SP.RUR.TOTL.ZG|Rural population growth (annual %)|Agriculture & Rural Development|FALSE
EN.POP.EL5M.RU.ZS|Rural population living in areas where elevation is below 5 meters (% of total population)|Agriculture & Rural Development|FALSE
AG.SRF.TOTL.K2|Surface area (sq. km)|Agriculture & Rural Development|TRUE
BX.GRT.EXTA.CD.WD|Grants, excluding technical cooperation (BoP, current US$)|Aid Effectiveness|TRUE
SH.TBS.INCD|Incidence of tuberculosis (per 100,000 people)|Aid Effectiveness|TRUE
SI.DST.FRST.20|Income share held by lowest 20%|Aid Effectiveness|TRUE
SH.STA.MMRT|Maternal mortality ratio (modeled estimate, per 100,000 live births)|Aid Effectiveness|TRUE
SH.DYN.MORT|Mortality rate, under-5 (per 1,000 live births)|Aid Effectiveness|TRUE
DT.ODA.ODAT.GN.ZS|Net ODA received (% of GNI)|Aid Effectiveness|TRUE
DT.ODA.ODAT.XP.ZS|Net ODA received (% of central government expense)|Aid Effectiveness|TRUE
